med_name,med_manufacturer,components,comp
ALLEGRA 120MG TABLET,SANOFI INDIA LIMITED,Fexofenadine 120 MG ,Fexofenadine 120 MG 
FEGRA-120MG TABLET,COMED CHEMICALS,Fexofenadine 120 MG ,Amoxicillin 500 MG 
FENIXA 120MG TABLET,CANIXA LIFE SCIENCES,Fexofenadine 120 MG ,Acetaminophen 650 MG
FEXOVA 120MG TABLET,IPCA LABORATORIES LTD,Fexofenadine 120 MG ,Acetaminophen 325 MG
FEXY 120MG TABLET,LUPIN LTD,Fexofenadine 120 MG ,Tramadol 37.5 MG
FEX 120MG TABLET,EAST WEST PHARMA,Fexofenadine 120 MG ,Acetazolamide 250 MG
HISTAFREE 120MG TABLET,MANKIND,Fexofenadine 120 MG ,Calcium acetate 667 MG
HISTAKIND 120MG TABLET,MANKIND,Fexofenadine 120 MG ,Paracetamol 650 MG 
HISTAPIN 120MG TABLET,PINARC LIFE SCIENCES,Fexofenadine 120 MG ,Levocetirizine 10 MG
SAFEGRA 120MG TABLET,BIOPHAR LIFESCIENCES,Fexofenadine 120 MG ,Aspirin 50 MG
ALERMED 120MG TABLET,GERMAN REMEDIES,Fexofenadine 120 MG ,Aspirin 150 MG
ALEXO 120MG TABLET,ALVIO PHARMACEUTICALS PVT LTD,Fexofenadine 120 MG ,Rabeprazole 20 MG
ALGROT 120MG TABLET,KHANDELWAL LABORATORIES PVT LTD,Fexofenadine 120 MG ,Methotrexate 25 MG
ALLERFEX 120MG TABLET,UNICHEM,Fexofenadine 120 MG ,Levamisole 150 MG
ALTIVA 120MG TABLET,RANBAXY,Fexofenadine 120 MG ,Letrozole 2.5 MG
CUTIFEX 120MG TABLET,INEX MEDICAMENTS PVT LTD,Fexofenadine 120 MG ,Cefuroxime 500 MG
DELPODINE 120MG TABLET,DELCURE LIFESCIENCES LTD,Fexofenadine 120 MG ,Cefepime 250 MG
FEXERT 120MG TABLET,LA PRISTINE,Fexofenadine 120 MG ,Azithromycin 500 MG
FEXINOL 120MG TABLET,KNOLL HEALTHCARE,Fexofenadine 120 MG ,Mecobalamin 1500 MCG+Nortriptyline 10 MG+Pregabalin 75 MG
FEXOFEN 120MG TABLET,ARISTO,Fexofenadine 120 MG ,Desvenlafaxine 50 MG+Clonazepam 0.5 MG
FEXODIN 120MG TABLET,OLCARE LABORATORIES,Fexofenadine 120 MG ,Escitalopram 10 MG+Clonazepam 0.5 MG
FEXOHIT 120MG TABLET,ZEE LABORATORIES LTD,Fexofenadine 120 MG ,
FEXOLIFE 120MG TABLET,DR JOHNS LABS,Fexofenadine 120 MG ,
FEXOPEN 120MG TABLET,MOREPEN LABORATORIES LTD,Fexofenadine 120 MG ,
FEXONA 120MG TABLET,LYKA HETERO,Fexofenadine 120 MG ,
FEXODER 120MG TABLET,ELDER,Fexofenadine 120 MG ,
FEXOBOND 120MG TABLET,LIFE GAIN PHARMA,Fexofenadine 120 MG ,
FX 24 120MG TABLET,HETERO HEALTHCARE LIMITED,Fexofenadine 120 MG ,
NASIVION ALLERGY 120MG TABLET,MERCK PHARMA,Fexofenadine 120 MG ,
NEXOFEX 120MG TABLET,EMENOX HEALTHCARE,Fexofenadine 120 MG ,
LCFEX 120MG TABLET,RAPROSS,Fexofenadine 120 MG ,
GALFEGRA 120MG TABLET,GALPHA LABORATORIES,Fexofenadine 120 MG ,
HHFEXO 120MG TABLET,HEGDE AND HEGDE PHARMACEUTICA LLP,Fexofenadine 120 MG ,
HISTOS 120MG TABLET,WINSOME LABORATORY LTD,Fexofenadine 120 MG ,
PILOT 120MG TABLET,SKN ORGANICS,Fexofenadine 120 MG ,
INTRAFEN 120MG TABLET,INTRA LABS,Fexofenadine 120 MG ,
SYMFINE 120MG TABLET,KINESIS,Fexofenadine 120 MG ,
SENSIFEN 120MG TABLET,MANAS PHARMA,Fexofenadine 120 MG ,
RHINOFEX 120MG TABLET,ASTRA ZENECA,Fexofenadine 120 MG ,
RYMA 120MG TABLET,ALKEM LABORATORIES LTD,Fexofenadine 120 MG ,
AMOXYCILLIN 500MG TABLET,IDPL,Amoxicillin 500 MG ,
AMOXYRITE 500MG CAPSULE,MHS PHARMACEUTICALS,Amoxicillin 500 MG ,
AXL 500MG TABLET,INDOCO REMEDIES LTD,Amoxicillin 500 MG ,
BLUMOX 500MG CAPSULE,BLUE CROSS,Amoxicillin 500 MG ,
MOX 500MG CAPSULE,SUN PHARMACEUTICAL INDUSTRIES LTD,Amoxicillin 500 MG ,
PEXOMOX 500MG TABLET,APEX,Amoxicillin 500 MG ,
NOVAMOX 500MG CAPSULE,CIPLA,Amoxicillin 500 MG ,
TIMOX 500MG CAPSULE,ACTO PHARMA,Amoxicillin 500 MG ,
WYMOX 500MG CAPSULE,PFIZER LIMITED,Amoxicillin 500 MG ,
BALMOX 500MG CAPSULE,BAL PHARMA,Amoxicillin 500 MG ,
AXN 500MG CAPSULE,ANTUS PHARMACEUTICAL,Amoxicillin 500 MG ,
AMX 500MG CAPSULE,RANBAXY,Amoxicillin 500 MG ,
ALMOX 500MG TABLET,ALKEM LABORATORIES LTD,Amoxicillin 500 MG ,
BLUMOX 500MG DT TABLET,BLUE CROSS,Amoxicillin 500 MG ,
DEXAMOX 500MG TABLET,TRIDENT,Amoxicillin 500 MG ,
EDOMOX 500MG TABLET,MEDOPHARM,Amoxicillin 500 MG ,
ELMOX 500MG CAPSULE,ELDER,Amoxicillin 500 MG ,
EROX 500MG TABLET,MICRO LABS LIMITED,Amoxicillin 500 MG ,
CIPMOX 500MG CAPSULE,CIPLA,Amoxicillin 500 MG ,
DENTAMOX 500MG CAPSULE,GENERAL,Amoxicillin 500 MG ,
EVOXIL 500MG CAPSULE,LEEFORD HEALTHCARE,Amoxicillin 500 MG ,
MIRAMOX 500MG CAPSULE,BIOMIRRA BIOGENICS,Amoxicillin 500 MG ,
MOCKAN 500MG CAPSULE,CADILA PHARMACEUTICALS LTD,Amoxicillin 500 MG ,
MOXCEE 500MG CAPSULE,CHEMO BIOLOGICAL,Amoxicillin 500 MG ,
MOXKING 500MG TABLET,GENERAL,Amoxicillin 500 MG ,
MOXMED 500MG CAPSULE,MEDLEY,Amoxicillin 500 MG ,
MOXYWIL 500MG CAPSULE,ZEE LABORATORIES LTD,Amoxicillin 500 MG ,
NEBUMOX 500MG TABLET,NEBULAE PHARMA,Amoxicillin 500 MG ,
LUPIMOX 500MG CAPSULE,LUPIN LTD,Amoxicillin 500 MG ,
MEDIMOX 500MG CAPSULE,MEDICO LAB,Amoxicillin 500 MG ,
PRESSMOX 500MG CAPSULE,VERITAZ HEALTHCARE,Amoxicillin 500 MG ,
PULMOXYL 500MG CAPSULE,MICRO LABS LIMITED,Amoxicillin 500 MG ,
OCTAMOX 500 CAPSULE,MEDISPAN,Amoxicillin 500 MG ,
TEGMOX 500MG CAPSULE,BIOTRANS,Amoxicillin 500 MG ,
TRUMOX 500MG CAPSULE,CIPLA,Amoxicillin 500 MG ,
VANMOX 500MG CAPSULE,SHIVANI HEALTHCARE,Amoxicillin 500 MG ,
ZEEMOX 500MG CAPSULE,CE CHEM PHARMACEUTICALS,Amoxicillin 500 MG ,
ZENMOX 500MG CAPSULE,ZEN PHARMA,Amoxicillin 500 MG ,
REKMOX 500MG CAPSULE,REKVINA PHARMA,Amoxicillin 500 MG ,
RESMOX CAPSULE,ESSARR,Amoxicillin 500 MG ,
